Name,Edition,Price,Type,Mana Cost
Adaptive Shimmerer,Cheapest Recent Printing - Ikoria: Lair of Behemoths,0.04,Creature - Insect,sym_5
Adaptive Snapjaw,Cheapest Recent Printing - Gatecrash,0.07,Creature - Lizard Beast,sym_4 sym_g
Adaptive Sporesinger,Cheapest Recent Printing - Phyrexia: All Will Be One,0.04,Creature - Phyrexian Druid,sym_2 sym_g
Adaptive Training Post,Cheapest Recent Printing - Tarkir: Dragonstorm Commander,0.15,Artifact,sym_2 sym_u
Adarkar Sentinel,Cheapest Recent Printing - Ice Age,0.21,Artifact Creature - Soldier,sym_5
Adarkar Unicorn,Cheapest Recent Printing - Ice Age,0.14,Creature - Unicorn,sym_1 sym_w sym_w
Adarkar Valkyrie,Cheapest Recent Printing - Commander 2018,0.98,Snow Creature - Angel,sym_4 sym_w sym_w
Adarkar Wastes,Cheapest Recent Printing - Dominaria United,0.46,Land,
Adarkar Windform,Cheapest Recent Printing - Coldsnap,0.21,Snow Creature - Illusion,sym_4 sym_u
Adder-Staff Boggart,Cheapest Recent Printing - Lorwyn,0.09,Creature - Goblin Warrior,sym_1 sym_r
Addle,Cheapest Recent Printing - Invasion,0.21,Sorcery,sym_1 sym_b
Adelbert Steiner,Cheapest Recent Printing - Final Fantasy,0.08,Legendary Creature - Human Knight,sym_1 sym_w
"Adeline, Resplendent Cathar",Cheapest Recent Printing - Tarkir: Dragonstorm Commander,1.24,Legendary Creature - Human Knight,sym_1 sym_w sym_w
"Adeliz, the Cinder Wind",Cheapest Recent Printing - Dominaria,0.13,Legendary Creature - Human Wizard,sym_1 sym_u sym_r
Adept,Cheapest Recent Printing - Avatar: The Last Airbender Jumpstart Front Cards,N/A,Token,
"Adéwalé, Breaker of Chains",Cheapest Recent Printing - Assassin's Creed,0.09,Legendary Creature - Human Assassin Pirate,sym_1 sym_u sym_b
Adherent of Hope,Cheapest Recent Printing - Core Set 2021,0.14,Creature - Human Soldier,sym_1 sym_w
Adipose Offspring,Cheapest Recent Printing - Doctor Who,0.11,Creature - Alien,sym_3 sym_w
Admiral Beckett Brass,Cheapest Recent Printing - Ixalan,0.39,Legendary Creature - Human Pirate,sym_1 sym_u sym_b sym_r
"Admiral Brass, Unsinkable",Cheapest Recent Printing - The Lost Caverns of Ixalan Commander,0.14,Legendary Creature - Human Pirate,sym_2 sym_u sym_b sym_r
Admiral's Order,Cheapest Recent Printing - Rivals of Ixalan,0.33,Instant,sym_1 sym_u sym_u
Admonition Angel,Cheapest Recent Printing - Zendikar Rising Commander,1.09,Creature - Angel,sym_3 sym_w sym_w sym_w
Adorable Kitten,Cheapest Recent Printing - Unsanctioned,0.21,Host Creature - Cat,sym_w
Adorned Crocodile,Cheapest Recent Printing - Tarkir: Dragonstorm,0.03,Creature - Crocodile,sym_4 sym_b
Adorned Pouncer,Cheapest Recent Printing - Hour of Devastation,0.53,Creature - Cat,sym_1 sym_w
Adorned Pouncer // Horse,Cheapest Recent Printing - Extras: Hour of Devastation,N/A,Token,
Adorned Pouncer // Warrior,Cheapest Recent Printing - Extras: Hour of Devastation,N/A,Token,
Adrenaline Jockey,Cheapest Recent Printing - Aetherdrift,0.04,Creature - Minotaur Pilot,sym_2 sym_r
Adrestia,Cheapest Recent Printing - Assassin's Creed,0.10,Legendary Artifact - Vehicle,sym_3
"Adriana, Captain of the Guard",Cheapest Recent Printing - Phyrexia: All Will Be One Commander,0.30,Legendary Creature - Human Knight,sym_3 sym_r sym_w
Adriana's Valor,Cheapest Recent Printing - Conspiracy: Take the Crown,0.10,Conspiracy,
"Adric, Mathematical Genius",Cheapest Recent Printing - Doctor Who,0.23,Legendary Creature - Human Artificer,sym_1 sym_u
"Adrix and Nev, Twincasters",Cheapest Recent Printing - Murders at Karlov Manor Commander,4.15,Legendary Creature - Merfolk Wizard,sym_2 sym_g sym_u
Adult Gold Dragon,Cheapest Recent Printing - Adventures in the Forgotten Realms,0.21,Creature - Dragon,sym_3 sym_r sym_w
Adun Oakenshield,Cheapest Recent Printing - Legends,71.76,Legendary Creature - Human Knight,sym_b sym_r sym_g
Advance Scout,Cheapest Recent Printing - Tempest,0.09,Creature - Human Soldier Scout,sym_1 sym_w
Advanced Hoverguard,Cheapest Recent Printing - Fifth Dawn,0.08,Creature - Drone,sym_3 sym_u
Advanced Stitchwing,Cheapest Recent Printing - Eldritch Moon,0.05,Creature - Zombie Horror,sym_3 sym_u sym_u
Advantageous Proclamation,Cheapest Recent Printing - Conspiracy,0.19,Conspiracy,
Advent of the Wurm,Cheapest Recent Printing - Dragon's Maze,0.18,Instant,sym_1 sym_g sym_g sym_w
Adventure Awaits,Cheapest Recent Printing - Zendikar Rising,0.05,Sorcery,sym_1 sym_g
Adventurer's Airship,Cheapest Recent Printing - Final Fantasy,0.03,Artifact - Vehicle,sym_3
Adventurer's Inn,Cheapest Recent Printing - Final Fantasy,0.10,Land - Town,
Adventurers' Guildhouse,Cheapest Recent Printing - Legends,8.43,Land,
Adventuring Gear,Cheapest Recent Printing - Foundations,0.08,Artifact - Equipment,sym_1
Adventurous Impulse,Cheapest Recent Printing - Ikoria: Lair of Behemoths,0.03,Sorcery,sym_g
Adverse Conditions,Cheapest Recent Printing - Battle for Zendikar,0.12,Instant,sym_3 sym_u
Advice from the Fae,Cheapest Recent Printing - Shadowmoor,0.20,Sorcery,sym_2u sym_2u sym_2u
Advocate of the Beast,Cheapest Recent Printing - Magic 2014 Core Set,0.12,Creature - Elf Shaman,sym_2 sym_g
"Aegar, the Freezing Flame",Cheapest Recent Printing - Kaldheim,0.09,Legendary Creature - Giant Wizard,sym_1 sym_u sym_r
Aegis Angel,Cheapest Recent Printing - Magic Origins,0.31,Creature - Angel,sym_4 sym_w sym_w
Aegis Automaton,Cheapest Recent Printing - Aether Revolt,0.05,Artifact Creature - Construct,sym_2
Aegis of Honor,Cheapest Recent Printing - Odyssey,1.00,Enchantment,sym_w
Aegis of the Gods,Cheapest Recent Printing - Journey into Nyx,1.12,Enchantment Creature - Human Soldier,sym_1 sym_w
Aegis of the Heavens,Cheapest Recent Printing - Core Set 2019,0.11,Instant,sym_1 sym_w
Aegis of the Legion,Cheapest Recent Printing - Ravnica: Clue Edition,1.48,Artifact - Equipment,sym_r sym_w
Aegis of the Meek,Cheapest Recent Printing - Ice Age,0.60,Artifact,sym_3
Aegis Sculptor,Cheapest Recent Printing - Tarkir: Dragonstorm,0.03,Creature - Bird Wizard,sym_3 sym_u
Aegis Turtle,Cheapest Recent Printing - Foundations,0.06,Creature - Turtle,sym_u
Aeolipile,Cheapest Recent Printing - Fallen Empires,1.40,Artifact,sym_2
Aeon Chronicler,Cheapest Recent Printing - Planar Chaos,0.37,Creature - Avatar,sym_3 sym_u sym_u
Aeon Engine,Cheapest Recent Printing - Commander 2019,0.50,Artifact,sym_5
Aerathi Berserker,Cheapest Recent Printing - Legends,2.97,Creature - Human Berserker,sym_2 sym_r sym_r sym_r
Aerial Assault,Cheapest Recent Printing - Core Set 2020,0.07,Sorcery,sym_2 sym_w
Aerial Boost,Cheapest Recent Printing - March of the Machine,0.03,Instant,sym_1 sym_w
Aerial Caravan,Cheapest Recent Printing - Mercadian Masques,0.39,Creature - Human Soldier,sym_4 sym_u sym_u
Aerial Engineer,Cheapest Recent Printing - Core Set 2019,0.10,Creature - Human Artificer,sym_2 sym_w sym_u
Aerial Extortionist,Cheapest Recent Printing - Murders at Karlov Manor Commander,0.55,Creature - Bird Soldier,sym_3 sym_w sym_w
Aerial Formation,Cheapest Recent Printing - Journey into Nyx,0.07,Instant,sym_u
Aerial Guide,Cheapest Recent Printing - Hour of Devastation,0.04,Creature - Drake,sym_2 sym_u
Aerial Maneuver,Cheapest Recent Printing - Gatecrash,0.05,Instant,sym_1 sym_w
Aerial Modification,Cheapest Recent Printing - Aether Revolt,0.06,Enchantment - Aura,sym_4 sym_w
Aerial Predation,Cheapest Recent Printing - Return to Ravnica,0.11,Instant,sym_2 sym_g
Aerial Responder,Cheapest Recent Printing - Kaladesh,0.14,Creature - Dwarf Soldier,sym_1 sym_w sym_w
Aerial Surveyor,Cheapest Recent Printing - Kamigawa: Neon Dynasty Commander,1.02,Artifact - Vehicle,sym_2 sym_w
Aerial Toastmaster,Cheapest Recent Printing - Unstable,0.11,Artifact Creature - Cyborg Rigger,sym_3 sym_w
Aerial Volley,Cheapest Recent Printing - Magic Origins,0.05,Instant,sym_g
Aerialephant,Cheapest Recent Printing - Unfinity,0.04,Creature - Elephant Performer,sym_3 sym_w
Aerie Auxiliary,Cheapest Recent Printing - Modern Horizons 3,0.04,Creature - Bird Soldier,sym_3 sym_w
Aerie Bowmasters,Cheapest Recent Printing - Dragons of Tarkir,0.05,Creature - Dog Archer,sym_2 sym_g sym_g
Aerie Mystics,Cheapest Recent Printing - Conflux,0.12,Creature - Bird Wizard,sym_4 sym_w
Aerie Ouphes,Cheapest Recent Printing - Eventide,0.23,Creature - Ouphe,sym_4 sym_g
Aerie Worshippers,Cheapest Recent Printing - Born of the Gods,0.06,Creature - Human Cleric,sym_3 sym_u
Aerith Gainsborough,Cheapest Recent Printing - Final Fantasy,1.59,Legendary Creature - Human Cleric,sym_2 sym_w
Aerith Rescue Mission,Cheapest Recent Printing - Final Fantasy,0.06,Sorcery,sym_3 sym_w
"Aerith, Last Ancient",Cheapest Recent Printing - Final Fantasy Commander,0.26,Legendary Creature - Human Cleric Druid,sym_2 sym_g sym_w
Aeromoeba,Cheapest Recent Printing - Modern Horizons 2,0.07,Creature - Elemental Beast,sym_3 sym_u
Aeromunculus,Cheapest Recent Printing - Ravnica Allegiance,0.07,Creature - Homunculus Mutant,sym_1 sym_g sym_u
Aeronaut Admiral,Cheapest Recent Printing - Aether Revolt,0.10,Creature - Human Pilot,sym_3 sym_w
Aeronaut Cavalry,Cheapest Recent Printing - The Brothers' War,0.07,Creature - Human Soldier,sym_4 sym_w
Aeronaut Tinkerer,Cheapest Recent Printing - Magic 2015 Core Set,0.06,Creature - Human Artificer,sym_2 sym_u
Aeronaut's Wings,Cheapest Recent Printing - The Brothers' War,0.08,Artifact - Equipment,sym_2
"Aesi, Tyrant of Gyre Strait",Cheapest Recent Printing - Duskmourn: House of Horror Commander,7.16,Legendary Creature - Serpent,sym_4 sym_g sym_u
Aesthetic Consultation,Cheapest Recent Printing - Unhinged,0.55,Instant,sym_b
Aesthir Glider,Cheapest Recent Printing - Dominaria,0.02,Artifact Creature - Bird Construct,sym_3
Aether Adept,Cheapest Recent Printing - Magic 2012,0.18,Creature - Human Wizard,sym_1 sym_u sym_u
Aether Barrier,Cheapest Recent Printing - Nemesis,2.20,Enchantment,sym_2 sym_u
Aether Burst,Cheapest Recent Printing - Odyssey,0.13,Instant,sym_1 sym_u
Aether Channeler,Cheapest Recent Printing - Dominaria United,0.24,Creature - Human Wizard,sym_2 sym_u
Aether Charge,Cheapest Recent Printing - Onslaught,0.17,Enchantment,sym_4 sym_r
Aether Chaser,Cheapest Recent Printing - Aether Revolt,0.05,Creature - Human Artificer,sym_1 sym_r
Aether Figment,Cheapest Recent Printing - Zendikar,0.15,Creature - Illusion,sym_1 sym_u
Aether Flash,Cheapest Recent Printing - Seventh Edition,0.91,Enchantment,sym_2 sym_r sym_r
Aether Gale,Cheapest Recent Printing - Duskmourn: House of Horror Commander,0.23,Sorcery,sym_3 sym_u sym_u
Aether Gust,Cheapest Recent Printing - Core Set 2020,0.14,Instant,sym_1 sym_u
Aether Helix,Cheapest Recent Printing - Strixhaven: School of Mages,0.05,Sorcery,sym_3 sym_g sym_u
Aether Herder,Cheapest Recent Printing - Aether Revolt,0.04,Creature - Elf Artificer Druid,sym_3 sym_g
Aether Hub,Cheapest Recent Printing - Kaladesh,0.13,Land,
Aether Inspector,Cheapest Recent Printing - Aether Revolt,0.09,Creature - Dwarf Artificer,sym_3 sym_w
Aether Meltdown,Cheapest Recent Printing - Kaladesh,0.08,Enchantment - Aura,sym_1 sym_u
Aether Membrane,Cheapest Recent Printing - Planar Chaos,0.44,Creature - Wall,sym_1 sym_r sym_r
Aether Mutation,Cheapest Recent Printing - Apocalypse,0.20,Sorcery,sym_3 sym_g sym_u
Aether Poisoner,Cheapest Recent Printing - Aether Revolt,0.07,Creature - Human Artificer,sym_1 sym_b
Aether Refinery,Cheapest Recent Printing - Modern Horizons 3 Commander,0.14,Artifact,sym_4 sym_r sym_r
Aether Revolt,Cheapest Recent Printing - Modern Horizons 3,0.20,Enchantment,sym_2 sym_r sym_r
Aether Rift,Cheapest Recent Printing - Invasion,0.63,Enchantment,sym_1 sym_r sym_g
Aether Searcher,Cheapest Recent Printing - Conspiracy,0.21,Artifact Creature - Construct,sym_7
Aether Shockwave,Cheapest Recent Printing - Saviors of Kamigawa,0.68,Instant,sym_3 sym_w
Aether Snap,Cheapest Recent Printing - Darksteel,0.62,Sorcery,sym_3 sym_b sym_b
Aether Spellbomb,Cheapest Recent Printing - Mirrodin,0.32,Artifact,sym_1
Aether Spike,Cheapest Recent Printing - Modern Horizons 3,0.04,Instant,sym_1 sym_u
Aether Sting,Cheapest Recent Printing - Urza's Destiny,0.54,Enchantment,sym_3 sym_r
Aether Storm,Cheapest Recent Printing - Fifth Edition,0.23,Enchantment,sym_3 sym_u
Aether Swooper,Cheapest Recent Printing - Aether Revolt,0.06,Creature - Vedalken Artificer,sym_1 sym_u
Aether Syphon,Cheapest Recent Printing - Aetherdrift,0.07,Artifact,sym_1 sym_u sym_u
Aether Theorist,Cheapest Recent Printing - Kaladesh,0.05,Creature - Vedalken Rogue,sym_1 sym_u
Aether Tide,Cheapest Recent Printing - Exodus,0.15,Sorcery,sym_x sym_u
Aether Tradewinds,Cheapest Recent Printing - Kaladesh,0.04,Instant,sym_2 sym_u
Aether Tunnel,Cheapest Recent Printing - Core Set 2019,0.58,Enchantment - Aura,sym_1 sym_u
Aether Vial,Cheapest Recent Printing - Mystery Booster 2,2.70,Artifact,sym_1
Aether Web,Cheapest Recent Printing - Time Spiral,0.17,Enchantment - Aura,sym_1 sym_g
Aetherblade Agent // Gitaxian Mindstinger,Cheapest Recent Printing - March of the Machine,0.04,Creature - Human Rogue // Creature - Phyrexian Rogue,sym_1 sym_b
Aetherborn // Servo,Cheapest Recent Printing - Extras: Modern Horizons 3 Commander,N/A,Token,
Aetherborn // Thopter,Cheapest Recent Printing - Extras: Modern Horizons 3 Commander,N/A,Token,
Aetherborn Marauder,Cheapest Recent Printing - Kaladesh,0.12,Creature - Aetherborn Rogue,sym_3 sym_b
Aetherflame Wall,Cheapest Recent Printing - Time Spiral,0.13,Creature - Wall,sym_1 sym_r
Aetherflux Conduit,Cheapest Recent Printing - Aetherdrift Commander,0.19,Artifact,sym_6
Aetherflux Reservoir,Cheapest Recent Printing - Kaladesh,17.91,Artifact,sym_4
Aethergeode Miner,Cheapest Recent Printing - Aether Revolt,0.12,Creature - Dwarf Scout,sym_1 sym_w
Aetheric Amplifier,Cheapest Recent Printing - Aetherdrift Commander,2.05,Artifact,sym_3
Aetherize,Cheapest Recent Printing - Foundations,0.26,Instant,sym_3 sym_u
Aetherjacket,Cheapest Recent Printing - Aetherdrift,0.05,Artifact Creature - Thopter,sym_3
Aetherling,Cheapest Recent Printing - Dragon's Maze,0.20,Creature - Shapeshifter,sym_4 sym_u sym_u
Aethermage's Touch,Cheapest Recent Printing - Dissension,0.46,Instant,sym_2 sym_w sym_u
Aetherplasm,Cheapest Recent Printing - Guildpact,0.14,Creature - Illusion,sym_2 sym_u sym_u
Aethershield Artificer,Cheapest Recent Printing - Core Set 2019,0.08,Creature - Dwarf Artificer,sym_3 sym_w
Aethersnatch,Cheapest Recent Printing - Commander 2015,1.17,Instant,sym_4 sym_u sym_u
Aethersnipe,Cheapest Recent Printing - Lorwyn,0.13,Creature - Elemental,sym_5 sym_u
Aethersphere Harvester,Cheapest Recent Printing - Aether Revolt,0.22,Artifact - Vehicle,sym_3
Aetherspouts,Cheapest Recent Printing - Magic 2015 Core Set,0.56,Instant,sym_3 sym_u sym_u
Aethersquall Ancient,Cheapest Recent Printing - Kaladesh,0.15,Creature - Leviathan,sym_5 sym_u sym_u
Aetherstorm Roc,Cheapest Recent Printing - Kaladesh,0.16,Creature - Bird,sym_2 sym_w sym_w
Aetherstream Leopard,Cheapest Recent Printing - Aether Revolt,0.09,Creature - Cat,sym_2 sym_g
Aethertide Whale,Cheapest Recent Printing - Aether Revolt,0.10,Creature - Whale,sym_4 sym_u sym_u
Aethertorch Renegade,Cheapest Recent Printing - Kaladesh,0.12,Creature - Human Rogue,sym_2 sym_r
Aethertow,Cheapest Recent Printing - Shadowmoor,0.13,Instant,sym_3 sym_wu
Aetherwind Basker,Cheapest Recent Printing - Aether Revolt,0.27,Creature - Lizard,sym_4 sym_g sym_g sym_g
Aetherworks Marvel,Cheapest Recent Printing - Kaladesh,0.34,Legendary Artifact,sym_4
Aettir and Priwen,Cheapest Recent Printing - Final Fantasy,5.53,Legendary Artifact - Equipment,sym_6
"Aeve, Progenitor Ooze",Cheapest Recent Printing - Modern Horizons 2,0.26,Legendary Creature - Ooze,sym_2 sym_g sym_g sym_g
Affa Guard Hound,Cheapest Recent Printing - Rise of the Eldrazi,0.06,Creature - Dog,sym_2 sym_w
Affa Protector,Cheapest Recent Printing - Oath of the Gatewatch,0.04,Creature - Human Soldier Ally,sym_2 sym_w
Affectionate Indrik,Cheapest Recent Printing - Foundations,0.03,Creature - Beast,sym_5 sym_g
Afflict,Cheapest Recent Printing - Tenth Edition,0.10,Instant,sym_2 sym_b
Afflicted Deserter // Werewolf Ransacker,Cheapest Recent Printing - Dark Ascension,0.20,Creature - Human Werewolf // Creature - Werewolf,sym_3 sym_r
Afiya Grove,Cheapest Recent Printing - Mirage,0.95,Enchantment,sym_1 sym_g
Afterburner Expert,Cheapest Recent Printing - Aetherdrift,0.06,Creature - Goblin Artificer,sym_2 sym_g
Afterlife,Cheapest Recent Printing - Mercadian Masques,0.19,Instant,sym_2 sym_w
Afterlife from the Loam,Cheapest Recent Printing - Tarkir: Dragonstorm Commander,0.30,Sorcery,sym_5 sym_b sym_b sym_b
Afterlife Insurance,Cheapest Recent Printing - Ravnica: Clue Edition,2.30,Instant,sym_1 sym_wb
Aftermath Analyst,Cheapest Recent Printing - Murders at Karlov Manor,0.97,Creature - Elf Detective,sym_1 sym_g
Aftershock,Cheapest Recent Printing - Tempest,0.17,Sorcery,sym_2 sym_r sym_r
Agadeem Occultist,Cheapest Recent Printing - Worldwake,0.55,Creature - Human Shaman Ally,sym_2 sym_b
"Agadeem's Awakening // Agadeem, the Undercrypt",Cheapest Recent Printing - Zendikar Rising,19.97,Sorcery // Land,sym_x sym_b sym_b sym_b
Against All Odds,Cheapest Recent Printing - Phyrexia: All Will Be One,0.08,Sorcery,sym_3 sym_w
Agate Assault,Cheapest Recent Printing - Bloomburrow,0.03,Sorcery,sym_2 sym_r
Agate Instigator,Cheapest Recent Printing - Bloomburrow Commander,3.23,Creature - Lizard Rogue,sym_1 sym_r
Agate-Blade Assassin,Cheapest Recent Printing - Bloomburrow,0.03,Creature - Lizard Assassin,sym_1 sym_b
Agatha of the Vile Cauldron,Cheapest Recent Printing - Wilds of Eldraine,0.81,Legendary Creature - Human Warlock,sym_r sym_g
Agatha's Champion,Cheapest Recent Printing - Wilds of Eldraine,0.03,Creature - Human Knight,sym_4 sym_g
Agatha's Soul Cauldron,Cheapest Recent Printing - Wilds of Eldraine,26.82,Legendary Artifact,sym_2
Ageless Entity,Cheapest Recent Printing - Darksteel,0.24,Creature - Elemental,sym_3 sym_g sym_g
Ageless Guardian,Cheapest Recent Printing - Strixhaven: School of Mages,0.07,Creature - Spirit Soldier,sym_1 sym_w
Ageless Sentinels,Cheapest Recent Printing - Scourge,0.26,Creature - Wall,sym_3 sym_w
Agency Coroner,Cheapest Recent Printing - Murders at Karlov Manor,0.02,Creature - Ogre Cleric,sym_4 sym_b
Agency Outfitter,Cheapest Recent Printing - Murders at Karlov Manor,0.05,Creature - Sphinx Detective,sym_4 sym_u sym_u
Agent Frank Horrigan,Cheapest Recent Printing - Fallout,0.71,Legendary Creature - Mutant Warrior,sym_5 sym_b sym_g
Agent of Acquisitions,Cheapest Recent Printing - The List,0.06,Artifact Creature - Construct,sym_2
Agent of Erebos,Cheapest Recent Printing - Journey into Nyx,0.30,Enchantment Creature - Zombie,sym_3 sym_b
Agent of Horizons,Cheapest Recent Printing - Theros,0.03,Creature - Human Rogue,sym_2 sym_g
Agent of Kotis,Cheapest Recent Printing - Tarkir: Dragonstorm,0.03,Creature - Human Rogue,sym_1 sym_u
Agent of Masks,Cheapest Recent Printing - Guildpact,0.22,Creature - Human Advisor,sym_3 sym_w sym_b
Agent of Raffine,Cheapest Recent Printing - Alchemy: New Capenna,N/A,Creature - Human Rogue,sym_u
Agent of Shauku,Cheapest Recent Printing - Prophecy,0.07,Creature - Human Mercenary,sym_1 sym_b
Agent of Stromgald,Cheapest Recent Printing - Alliances,0.13,Creature - Human Knight,sym_r
Agent of the Fates,Cheapest Recent Printing - Theros,0.19,Creature - Human Assassin,sym_1 sym_b sym_b
Agent of the Iron Throne,Cheapest Recent Printing - Commander Legends: Battle for Baldur's Gate,0.28,Legendary Enchantment - Background,sym_2 sym_b
Agent of the Shadow Thieves,Cheapest Recent Printing - Commander Legends: Battle for Baldur's Gate,0.10,Legendary Enchantment - Background,sym_1 sym_b
Agent of Treachery,Cheapest Recent Printing - Core Set 2020,4.69,Creature - Human Rogue,sym_5 sym_u sym_u
Agent Venom,Cheapest Recent Printing - Marvel's Spider-Man,0.48,Legendary Creature - Symbiote Soldier Hero,sym_2 sym_b
Agent's Toolkit,Cheapest Recent Printing - Streets of New Capenna Commander,8.70,Artifact - Clue,sym_1 sym_g sym_u
Aggravate,Cheapest Recent Printing - Avacyn Restored,0.06,Instant,sym_3 sym_r sym_r
Aggravated Assault,Cheapest Recent Printing - Wilds of Eldraine: Enchanting Tales,12.46,Enchantment,sym_2 sym_r
